Month,Year,MosquitoSpecies,TrappingMethod,Location,NumberOfMosquitoes,Rainfall,RainfallUnits,Source,SequenceNumber,OtherNotes
1,2004-2006,Haemagogus leucocelaenus,Adult landing traps,Dunes State Park ,0,185.2272727,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,3,"rainfall from using Web plot digitizer on graphs (maybe rainfall from just 2004), mosquito numbers from using Web Plot Digitizer on graphs, mosquitoes collected four times a week for three years and mean monthly captures reported"
2,2004-2006,Haemagogus leucocelaenus,Adult landing traps,Dunes State Park ,13.125,141.4772727,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,3,"rainfall from using Web plot digitizer on graphs (maybe rainfall from just 2004), mosquito numbers from using Web Plot Digitizer on graphs, mosquitoes collected four times a week for three years and mean monthly captures reported"
3,2004-2006,Haemagogus leucocelaenus,Adult landing traps,Dunes State Park ,46.875,173.2954545,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,3,"rainfall from using Web plot digitizer on graphs (maybe rainfall from just 2004), mosquito numbers from using Web Plot Digitizer on graphs, mosquitoes collected four times a week for three years and mean monthly captures reported"
4,2004-2006,Haemagogus leucocelaenus,Adult landing traps,Dunes State Park ,198.75,113.6363636,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,3,"rainfall from using Web plot digitizer on graphs (maybe rainfall from just 2004), mosquito numbers from using Web Plot Digitizer on graphs, mosquitoes collected four times a week for three years and mean monthly captures reported"
5,2004-2006,Haemagogus leucocelaenus,Adult landing traps,Dunes State Park ,71.25,114.9621212,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,3,"rainfall from using Web plot digitizer on graphs (maybe rainfall from just 2004), mosquito numbers from using Web Plot Digitizer on graphs, mosquitoes collected four times a week for three years and mean monthly captures reported"
6,2004-2006,Haemagogus leucocelaenus,Adult landing traps,Dunes State Park ,52.5,388.0681818,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,3,"rainfall from using Web plot digitizer on graphs (maybe rainfall from just 2004), mosquito numbers from using Web Plot Digitizer on graphs, mosquitoes collected four times a week for three years and mean monthly captures reported"
7,2004-2006,Haemagogus leucocelaenus,Adult landing traps,Dunes State Park ,20.625,251.5151515,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,3,"rainfall from using Web plot digitizer on graphs (maybe rainfall from just 2004), mosquito numbers from using Web Plot Digitizer on graphs, mosquitoes collected four times a week for three years and mean monthly captures reported"
8,2004-2006,Haemagogus leucocelaenus,Adult landing traps,Dunes State Park ,5.625,48.67424242,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,3,"rainfall from using Web plot digitizer on graphs (maybe rainfall from just 2004), mosquito numbers from using Web Plot Digitizer on graphs, mosquitoes collected four times a week for three years and mean monthly captures reported"
9,2004-2006,Haemagogus leucocelaenus,Adult landing traps,Dunes State Park ,3.75,0,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,3,"rainfall from using Web plot digitizer on graphs (maybe rainfall from just 2004), mosquito numbers from using Web Plot Digitizer on graphs, mosquitoes collected four times a week for three years and mean monthly captures reported"
10,2004-2006,Haemagogus leucocelaenus,Adult landing traps,Dunes State Park ,1.875,0,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,3,"rainfall from using Web plot digitizer on graphs (maybe rainfall from just 2004), mosquito numbers from using Web Plot Digitizer on graphs, mosquitoes collected four times a week for three years and mean monthly captures reported"
11,2004-2006,Haemagogus leucocelaenus,Adult landing traps,Dunes State Park ,3.75,0,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,3,"rainfall from using Web plot digitizer on graphs (maybe rainfall from just 2004), mosquito numbers from using Web Plot Digitizer on graphs, mosquitoes collected four times a week for three years and mean monthly captures reported"
12,2004-2006,Haemagogus leucocelaenus,Adult landing traps,Dunes State Park ,0,0,mm,Medeiros 2009 Seasonal Variation of Potential Flavivirus Vectors in an Urban Biological Reserve in Northeastern Brazil,3,"rainfall from using Web plot digitizer on graphs (maybe rainfall from just 2004), mosquito numbers from using Web Plot Digitizer on graphs, mosquitoes collected four times a week for three years and mean monthly captures reported"
7,2005,Haemagogus janthinomys,adult captures at 4 different heights,Caxiuanã National Forest ,12.54355401,82.19,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",4,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
9,2005,Haemagogus janthinomys,adult captures at 4 different heights,Caxiuanã National Forest ,7.212543554,78.42,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",4,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
12,2005,Haemagogus janthinomys,adult captures at 4 different heights,Caxiuanã National Forest ,2.822299652,76.55,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",4,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
2,2006,Haemagogus janthinomys,adult captures at 4 different heights,Caxiuanã National Forest ,67.42160279,92.02,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",4,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
4,2006,Haemagogus janthinomys,adult captures at 4 different heights,Caxiuanã National Forest ,10.66202091,90.19,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",4,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
7,2005,Haemagogus leucocelaenus,adult captures at 4 different heights,Caxiuanã National Forest ,36.37630662,82.19,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",5,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
9,2005,Haemagogus leucocelaenus,adult captures at 4 different heights,Caxiuanã National Forest ,2.822299652,78.42,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",5,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
12,2005,Haemagogus leucocelaenus,adult captures at 4 different heights,Caxiuanã National Forest ,0,76.55,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",5,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
2,2006,Haemagogus leucocelaenus,adult captures at 4 different heights,Caxiuanã National Forest ,45.15679443,92.02,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",5,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
4,2006,Haemagogus leucocelaenus,adult captures at 4 different heights,Caxiuanã National Forest ,15.99303136,90.19,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",5,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
7,2005,Sabethes chloropterus,adult captures at 4 different heights,Caxiuanã National Forest ,31.04529617,82.19,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",6,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
9,2005,Sabethes chloropterus,adult captures at 4 different heights,Caxiuanã National Forest ,7.212543554,78.42,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",6,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
12,2005,Sabethes chloropterus,adult captures at 4 different heights,Caxiuanã National Forest ,10.03484321,76.55,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",6,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
2,2006,Sabethes chloropterus,adult captures at 4 different heights,Caxiuanã National Forest ,35.74912892,92.02,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",6,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
4,2006,Sabethes chloropterus,adult captures at 4 different heights,Caxiuanã National Forest ,16.93379791,90.19,RH(%),"Pinto 2009 Ecology of Haemagogus sp. and Sabethes sp. (Diptera- Culicidae) in relation to the microclimates of the Caxiuanã National Forest, Pará, Brazil",6,"no rainfall data available, only relative humidity, reported as averaged over the 4 heights"
7,2000,Haemagogus janthinomys,adult capture (hourly means),"﻿Rancho do Vale, Sao Albertina county, Sao Paulo State, Brazil",0,27.29257642,mm,"Tubaki 2010 Observations on Haemagogus janthinomys Dyar (Diptera- Culicidae) and other mosquito populations within tree holes in a gallery forest in the Northwestern Region of Sao Paulo State, Brazil",7,rainfall extracted using Web plot digitizer on graphs
8,2000,Haemagogus janthinomys,adult capture (hourly means),"﻿Rancho do Vale, Sao Albertina county, Sao Paulo State, Brazil",0,37.11790393,mm,"Tubaki 2010 Observations on Haemagogus janthinomys Dyar (Diptera- Culicidae) and other mosquito populations within tree holes in a gallery forest in the Northwestern Region of Sao Paulo State, Brazil",7,rainfall extracted using Web plot digitizer on graphs
9,2000,Haemagogus janthinomys,adult capture (hourly means),"﻿Rancho do Vale, Sao Albertina county, Sao Paulo State, Brazil",0.4,66.04803493,mm,"Tubaki 2010 Observations on Haemagogus janthinomys Dyar (Diptera- Culicidae) and other mosquito populations within tree holes in a gallery forest in the Northwestern Region of Sao Paulo State, Brazil",7,rainfall extracted using Web plot digitizer on graphs
10,2000,Haemagogus janthinomys,adult capture (hourly means),"﻿Rancho do Vale, Sao Albertina county, Sao Paulo State, Brazil",0.5,38.20960699,mm,"Tubaki 2010 Observations on Haemagogus janthinomys Dyar (Diptera- Culicidae) and other mosquito populations within tree holes in a gallery forest in the Northwestern Region of Sao Paulo State, Brazil",7,rainfall extracted using Web plot digitizer on graphs
11,2000,Haemagogus janthinomys,adult capture (hourly means),"﻿Rancho do Vale, Sao Albertina county, Sao Paulo State, Brazil",0.5,62.77292576,mm,"Tubaki 2010 Observations on Haemagogus janthinomys Dyar (Diptera- Culicidae) and other mosquito populations within tree holes in a gallery forest in the Northwestern Region of Sao Paulo State, Brazil",7,rainfall extracted using Web plot digitizer on graphs
12,2000,Haemagogus janthinomys,adult capture (hourly means),"﻿Rancho do Vale, Sao Albertina county, Sao Paulo State, Brazil",1.9,127.7292576,mm,"Tubaki 2010 Observations on Haemagogus janthinomys Dyar (Diptera- Culicidae) and other mosquito populations within tree holes in a gallery forest in the Northwestern Region of Sao Paulo State, Brazil",7,rainfall extracted using Web plot digitizer on graphs
1,2001,Haemagogus janthinomys,adult capture (hourly means),"﻿Rancho do Vale, Sao Albertina county, Sao Paulo State, Brazil",4.8,184.4978166,mm,"Tubaki 2010 Observations on Haemagogus janthinomys Dyar (Diptera- Culicidae) and other mosquito populations within tree holes in a gallery forest in the Northwestern Region of Sao Paulo State, Brazil",7,rainfall extracted using Web plot digitizer on graphs
2,2001,Haemagogus janthinomys,adult capture (hourly means),"﻿Rancho do Vale, Sao Albertina county, Sao Paulo State, Brazil",1,96.069869,mm,"Tubaki 2010 Observations on Haemagogus janthinomys Dyar (Diptera- Culicidae) and other mosquito populations within tree holes in a gallery forest in the Northwestern Region of Sao Paulo State, Brazil",7,rainfall extracted using Web plot digitizer on graphs
3,2001,Haemagogus janthinomys,adult capture (hourly means),"﻿Rancho do Vale, Sao Albertina county, Sao Paulo State, Brazil",0.6,45.30567686,mm,"Tubaki 2010 Observations on Haemagogus janthinomys Dyar (Diptera- Culicidae) and other mosquito populations within tree holes in a gallery forest in the Northwestern Region of Sao Paulo State, Brazil",7,rainfall extracted using Web plot digitizer on graphs
4,2001,Haemagogus janthinomys,adult capture (hourly means),"﻿Rancho do Vale, Sao Albertina county, Sao Paulo State, Brazil",0.3,79.69432314,mm,"Tubaki 2010 Observations on Haemagogus janthinomys Dyar (Diptera- Culicidae) and other mosquito populations within tree holes in a gallery forest in the Northwestern Region of Sao Paulo State, Brazil",7,rainfall extracted using Web plot digitizer on graphs
5,2001,Haemagogus janthinomys,adult capture (hourly means),"﻿Rancho do Vale, Sao Albertina county, Sao Paulo State, Brazil",0,8.733624454,mm,"Tubaki 2010 Observations on Haemagogus janthinomys Dyar (Diptera- Culicidae) and other mosquito populations within tree holes in a gallery forest in the Northwestern Region of Sao Paulo State, Brazil",7,rainfall extracted using Web plot digitizer on graphs
6,2001,Haemagogus janthinomys,adult capture (hourly means),"﻿Rancho do Vale, Sao Albertina county, Sao Paulo State, Brazil",0,8.187772926,mm,"Tubaki 2010 Observations on Haemagogus janthinomys Dyar (Diptera- Culicidae) and other mosquito populations within tree holes in a gallery forest in the Northwestern Region of Sao Paulo State, Brazil",7,rainfall extracted using Web plot digitizer on graphs
2,2004-2005,Haemagogus janthinomys,adult capture (Williams means over the capture period),"Peixe Angical hydroelectric scheme (Tocantins, Brazil) ",13.27659574,196.8253968,mm,"dos Santos Silva 2010 Biodiversity and influence of climatic factors on mosquitoes (Diptera- Culicidae) around the Peixe Angical hydroelectric scheme in the state of Tocantins, Brazil",8,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
4,2004-2005,Haemagogus janthinomys,adult capture (Williams means over the capture period),"Peixe Angical hydroelectric scheme (Tocantins, Brazil) ",17.87234043,96.82539683,mm,"dos Santos Silva 2010 Biodiversity and influence of climatic factors on mosquitoes (Diptera- Culicidae) around the Peixe Angical hydroelectric scheme in the state of Tocantins, Brazil",8,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
6,2004-2005,Haemagogus janthinomys,adult capture (Williams means over the capture period),"Peixe Angical hydroelectric scheme (Tocantins, Brazil) ",0,0,mm,"dos Santos Silva 2010 Biodiversity and influence of climatic factors on mosquitoes (Diptera- Culicidae) around the Peixe Angical hydroelectric scheme in the state of Tocantins, Brazil",8,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
8,2004-2005,Haemagogus janthinomys,adult capture (Williams means over the capture period),"Peixe Angical hydroelectric scheme (Tocantins, Brazil) ",0,0,mm,"dos Santos Silva 2010 Biodiversity and influence of climatic factors on mosquitoes (Diptera- Culicidae) around the Peixe Angical hydroelectric scheme in the state of Tocantins, Brazil",8,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
10,2004-2005,Haemagogus janthinomys,adult capture (Williams means over the capture period),"Peixe Angical hydroelectric scheme (Tocantins, Brazil) ",0,70.83333333,mm,"dos Santos Silva 2010 Biodiversity and influence of climatic factors on mosquitoes (Diptera- Culicidae) around the Peixe Angical hydroelectric scheme in the state of Tocantins, Brazil",8,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
12,2004-2005,Haemagogus janthinomys,adult capture (Williams means over the capture period),"Peixe Angical hydroelectric scheme (Tocantins, Brazil) ",18.38297872,265.4761905,mm,"dos Santos Silva 2010 Biodiversity and influence of climatic factors on mosquitoes (Diptera- Culicidae) around the Peixe Angical hydroelectric scheme in the state of Tocantins, Brazil",8,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
2,2004-2005,Sabethes chloropterus,adult capture (Williams means over the capture period),"Peixe Angical hydroelectric scheme (Tocantins, Brazil) ",2.476987448,196.8253968,mm,"dos Santos Silva 2010 Biodiversity and influence of climatic factors on mosquitoes (Diptera- Culicidae) around the Peixe Angical hydroelectric scheme in the state of Tocantins, Brazil",9,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
4,2004-2005,Sabethes chloropterus,adult capture (Williams means over the capture period),"Peixe Angical hydroelectric scheme (Tocantins, Brazil) ",2.543933054,96.82539683,mm,"dos Santos Silva 2010 Biodiversity and influence of climatic factors on mosquitoes (Diptera- Culicidae) around the Peixe Angical hydroelectric scheme in the state of Tocantins, Brazil",9,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
6,2004-2005,Sabethes chloropterus,adult capture (Williams means over the capture period),"Peixe Angical hydroelectric scheme (Tocantins, Brazil) ",0.80334728,0,mm,"dos Santos Silva 2010 Biodiversity and influence of climatic factors on mosquitoes (Diptera- Culicidae) around the Peixe Angical hydroelectric scheme in the state of Tocantins, Brazil",9,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
8,2004-2005,Sabethes chloropterus,adult capture (Williams means over the capture period),"Peixe Angical hydroelectric scheme (Tocantins, Brazil) ",0,0,mm,"dos Santos Silva 2010 Biodiversity and influence of climatic factors on mosquitoes (Diptera- Culicidae) around the Peixe Angical hydroelectric scheme in the state of Tocantins, Brazil",9,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
10,2004-2005,Sabethes chloropterus,adult capture (Williams means over the capture period),"Peixe Angical hydroelectric scheme (Tocantins, Brazil) ",2.543933054,70.83333333,mm,"dos Santos Silva 2010 Biodiversity and influence of climatic factors on mosquitoes (Diptera- Culicidae) around the Peixe Angical hydroelectric scheme in the state of Tocantins, Brazil",9,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
12,2004-2005,Sabethes chloropterus,adult capture (Williams means over the capture period),"Peixe Angical hydroelectric scheme (Tocantins, Brazil) ",8.435146444,265.4761905,mm,"dos Santos Silva 2010 Biodiversity and influence of climatic factors on mosquitoes (Diptera- Culicidae) around the Peixe Angical hydroelectric scheme in the state of Tocantins, Brazil",9,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
9,1945,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",275,23.40425532,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
10,1945,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",460,87.23404255,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
11,1945,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",307,180.8510638,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
12,1945,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",594,406.3829787,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
1,1946,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",1444,104.2553191,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
2,1946,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",704,123.4042553,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
3,1946,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",260,208.5106383,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
4,1946,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",123,44.68085106,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
5,1946,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",62,4.255319149,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
6,1946,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",13,10.63829787,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
7,1946,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",104,40.42553191,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
