record,mosquito_species,refeeding1_dpi,refeeding1_mosquitoes,refeeding2_dpi,refeeding2_mosquitoes,repetitions,minT,maxT,meanT,vertebrate
85,Haemagogus janthinomys,0,1,31,1,1,28,32,30,mouse
86,Haemagogus janthinomys,0,1,31,1,1,28,32,30,mouse
89,Haemagogus mesodentatus,0,6,27,6,1,24.44444444,29.44444444,26.11111111,Macaca
90,Haemagogus mesodentatus,0,1,27,1,1,24.44444444,29.44444444,26.11111111,Macaca
92,Haemagogus equinus,0,26,27,26,1,24.44444444,29.44444444,26.11111111,Macaca
93,Haemagogus mesodentatus,0,5,28,5,1,24.44444444,29.44444444,26.11111111,Ateles
95,Sabethes chloropterus,28,3,29,0,1,24.44444444,29.44444444,26.11111111,Macaca
96,Haemagogus equinus,0,4,23,4,1,24.44444444,29.44444444,26.11111111,Macaca
97,Haemagogus leucocelaenus,14,3,15,0,1,20,30,21.33928571,Macaca
98,Haemagogus leucocelaenus,14,1,15,0,1,20,30,21.33928571,Macaca
99,Haemagogus leucocelaenus,15,2,22,1,1,20,30,21.33928571,Macaca
101,Haemagogus leucocelaenus,20,1,21,0,1,20,30,21.33928571,Macaca
102,Haemagogus leucocelaenus,0,6,20,6,1,20,30,21.33928571,Macaca
103.1,Haemagogus equinus,0,1,14,1,4,20,30,21.33928571,mouse
103.2,Haemagogus equinus,14,1,15,0,71,20,30,21.33928571,mouse
104.1,Haemagogus equinus,0,1,18,1,7,20,30,21.33928571,mouse
104.2,Haemagogus equinus,18,1,19,0,59,20,30,21.33928571,mouse
105.1,Haemagogus equinus,0,1,21,1,5,20,30,21.33928571,mouse
105.2,Haemagogus equinus,21,1,22,0,37,20,30,21.33928571,mouse
106.1,Haemagogus equinus,0,1,25,1,1,20,30,21.33928571,mouse
106.2,Haemagogus equinus,25,1,26,0,17,20,30,21.33928571,mouse
107.1,Haemagogus equinus,0,1,29,1,0,20,30,21.33928571,mouse
107.2,Haemagogus equinus,29,1,30,0,6,28,30,29,mouse
108.1,Haemagogus equinus,0,1,14,1,0,28,30,29,mouse
108.2,Haemagogus equinus,14,1,15,0,44,28,30,29,mouse
109.1,Haemagogus equinus,0,1,18,1,1,28,30,29,mouse
109.2,Haemagogus equinus,28,1,19,0,2,28,30,29,mouse
110.1,Haemagogus equinus,0,1,14,1,14,28,30,29,mouse
110.2,Haemagogus equinus,14,1,15,0,36,28,30,29,mouse
111.1,Haemagogus equinus,0,1,21,1,2,28,30,29,mouse
111.2,Haemagogus equinus,21,1,22,0,3,28,30,29,mouse
112.1,Haemagogus equinus,0,1,14,1,11,28,30,29,mouse
112.2,Haemagogus equinus,14,1,15,0,36,28,30,29,mouse
113.1,Haemagogus equinus,0,1,18,1,7,28,30,29,mouse
113.2,Haemagogus equinus,18,1,19,0,3,28,30,29,mouse
114.1,Haemagogus equinus,0,1,21,1,1,28,30,29,mouse
114.2,Haemagogus equinus,21,1,22,0,2,28,30,29,mouse
