"study_id","deduplication_status","citation_screening_status","fulltext_screening_status","data_extraction_screening_status","data_source_type","data_source_name","data_source_url","citation_title","citation_abstract","citation_authors","citation_journal_name","citation_journal_volume","citation_pub_year","citation_keywords","fulltext_filename","fulltext_exclude_reasons","Hg. janthinomys","Hg. Leucocelaenous","S. chloropterus","location format ","other Hg. or S.","height data "
409839,"not_duplicate","excluded","not_screened","not_started","database","Scopus","","Mosquito-borne arboviruses of African origin: Review of key viruses and vectors","Key aspects of 36 mosquito-borne arboviruses indigenous to Africa are summarized, including lesser or poorly-known viruses which, like Zika, may have the potential to escape current sylvatic cycling to achieve greater geographical distribution and medical importance. Major vectors are indicated as well as reservoir hosts, where known. A series of current and future risk factors is addressed. It is apparent that Africa has been the source of most of the major mosquito-borne viruses of medical importance that currently constitute serious global public health threats, but that there are several other viruses with potential for international challenge. The conclusion reached is that increased human population growth in decades ahead coupled with increased international travel and trade is likely to sustain and increase the threat of further geographical spread of current and new arboviral disease. © 2018 The Author(s).","Braack, L.; Cornel, A.J.; De Jager, C.; Gouveia De Almeida, A.P.; Swanepoel, R.","","11",2018,"","","","","","","","",""
409840,"not_duplicate","included","included","finished","database","Scopus","","Description and phylogeny of the mitochondrial genome of Sabethes chloropterus, Sabethes glaucodaemon and Sabethes belisarioi (Diptera: Culicidae)","Mosquitoes as Sabethes chloropterus, Sabethes glaucodaemon, Sabethes belisarioi are species of medical and epidemiological importance for arboviruses transmission such as yellow fever and St. Louis encephalitis. Despite this, no information about these three species mitochondrial DNA has been found in literature. Our study presents a mitochondrial genome description, including identity, SNPs, mutation rate, and phylogeny analysis using COX1, COX2, NADH4, NADH5, CYOB genes. The Sa. chloropterus, Sa. glaucodaemon and Sa. belisaroi mitochondrial genome sizes 15.609 bp, 15.620 bp, 15.907 bp, respectively, with 37 functional genes, presenting about 4.982 single nucleotide polymorphisms and 13.291 identical sites between them, besides all genes with dN/dS < 1 ratio, and also a greater approximation between Sa. glaucodaemon and Sa. chloropterus than with Sa. belisarioi. Due to the importance of mitochondrial DNA for population structure studies, evolution, and others, we expect that this data can contribute to other studies related to these mosquitoes and their viruses. © 2018 Elsevier Inc.","Aragão, A.D.O.; Cardoso, J.F.; Casseb, S.M.M.; Cruz, A.C.R.; Ishikawa, E.A.Y.; Nunes Neto, J.P.; da Silva, S.P.","","",2018,"","Aragao_2018_Description_and_phylogeny_of_the_mitochondrial_genome_of_Sabethes_chloropterus_Sabethes_glaucodaemon_and_Sabethes_belisarioi_Diptera-_Culicidae.pdf","","N/A","N/A","1° 12' 32.4'' S , 48° 16' 18.2'' W","d; /; m; /; s","y; e; s","n; o"
409841,"not_duplicate","included","included","finished","database","Scopus","","Fauna of mosquitoes (Diptera: Culicidae) in Goytacazes national forest and surrounding area, State of Espírito Santo, southeastern Brazil","Mosquitoes comprehend a group with a major impact on public health, because some species transmit parasites vertebrate hosts. Comparative studies between preserved environment and disturbed areas provide important epidemiological information, due to the major knowledge on species populational dynamics and the possibility of a contact between vector species and human population. This work aims to characterize and compare the fauna of mosquitoes in the Goytacazes National Forest (GNF) and surrounding area, in the State of Espírito Santo, in Brazil. Collections occurred simultaneously in a preserved environment and in a peridomicile, from 15:00 to 18:00, between July 2008 and May 2009. In each environment, it was used a modified trap of Shannon type. As a result, 1,490 specimens from 14 genera and 19 identified species were collected. The species diversity (H = 1.95), species richness (S = 17), equitability index (J = 0.68) and the number of collected specimens (n = 1,100) were higher in the forest environment. The plentiful species were respectively Aedes (Ochlerotatus) scapularis (Rondani, 1848), Culex (Culex) nigripalpus Theobald, 1901 and Aedes (Ochlerotatus) fulvus (Wiedemann, 1828). Our results demonstrate that the occurrence of vector species in this region increases the potential risk of diverse arboviruses occurrence, especially wild-type yellow fever. © 2018, Universidade Estadual de Campinas UNICAMP. All rights reserved.","Falqueto, A.; Pinto, I.S.; Rezende, H.R.; das Virgens, T.M.","","18",2018,"","Falqueto_2018_Fauna_of_mosquitoes_Diptera_Culicidae_in_Goytacazes_national_forest_and_surrounding_area_State_of_Espirito_Santo_southeastern_Brazil.pdf","","N/A","19° 28' 1'' S , 40° 4' 18'' W","N/A","d; /; m; /; s","y; e; s","n; o"
409842,"not_duplicate","excluded","not_screened","not_started","database","Scopus","","Clear-cutting disease control: Capital-led deforestation, public health austerity, and vector-borne infection","The vector-borne Zika virus joins avian influenza, Ebola, and yellow fever as recent public health crises threatening pandemicity. By a combination of stochastic modeling and economic geography, this book proposes two key causes together explain the explosive spread of the worst of the vector-borne outbreaks. Ecosystems in which such pathogens are largely controlled by environmental stochasticity are being drastically streamlined by both agribusiness-led deforestation and deficits in public health and environmental sanitation. Consequently, a subset of infections that once burned out relatively quickly in local forests are now propagating across susceptible human populations whose vulnerability to infection is often exacerbated in structurally adjusted cities. The resulting outbreaks are characterized by greater global extent, duration, and momentum. As infectious diseases in an age of nation states and global health programs cannot, as much of the present modeling literature presumes, be described by interacting populations of host, vector, and pathogen alone, a series of control theory models is also introduced here. These models, useful to researchers and health officials alike, explicitly address interactions between government ministries and the pathogens they aim to control. © Springer International Publishing AG 2018.","Ayres, C.; Bergmann, L.R.; Chaves, L.F.; Hogerwerf, L.; Kock, R.; Wallace, R.; Wallace, R.G.","","",2018,"","","","","","","","",""
409843,"not_duplicate","included","included","started","database","Scopus","","Diversity of Mosquitoes at the Itatiaia National Park, State of Rio de Janeiro, Brazil","A temporal observational study was conducted with the aim of characterizing Culicidae richness, diversity, abundance, and species similarity in fragments of Atlantic Forest within the Itatiaia National Park, state of Rio de Janeiro, Brazil. A total of 31 mosquito species were collected in 2 sampling stations, during the day and night, and the abundance index and dominance coefficient for each species were calculated. The results showed that the culicid density was higher during the day, and the time preference was directly influenced by the climate variables analyzed, which acted as limiting factors for mosquito occurrence. The mosquito fauna at the Itatiaia National Park presented high richness, including some epidemiologically important species: Anopheles cruzii, Haemagogus leucocelaenus, Aedes scapularis, and Sabethes identicus. Studies of this region supply information on biodiversity, and consequently help to understand epidemiological aspects of potential pathogen vector species. Copyright © 2017 by The American Mosquito Control Association, Inc.","Alencar, J.; De Mello, C.F.; Dos Santos Silva, J.; Guimarães, A.É.; Lopes, C.M.","","33",2017,"","Alencar_2017_Diversity_of_Mosquitoes_at_the_Itatiaia_National_Park_State_of_Rio_de_Janeiro_Brazil.pdf","","N/A","","N/A","","",""
409844,"not_duplicate","included","included","finished","database","Scopus","","Mosquitoes in urban green spaces: Using an island biogeographic approach to identify drivers of species richness and composition","Mosquitoes are well known for their epidemiological importance as vectors of a wide range of human pathogens. Despite the many studies on medically important species, little is known about the diversity patterns of these insects in urban green spaces, which serve as shelter and refuge for many native and invasive species. Here, we investigate drivers of mosquito richness and composition in nine urban parks in the city of São Paulo, Brazil. Using the equilibrium theory of island biogeography, we tested predictive models for species richness and composition and performed nestedness analysis. We also investigated whether species loss tends to benefit vector mosquitoes. In the period 2011 to 2013, a total of 37,972 mosquitoes belonging to 73 species and 14 genera were collected. Our results suggest there is a species-area relationship, an increase in species similarity as richness is lost and a nested species composition pattern. Seven of the eight most commonly found species are considered vectors of human pathogens, suggesting a possible link between species loss and increased risk of pathogen transmission. Our data highlight the need for studies that seek to understand how species loss may affect the risk of infectious diseases in urban areas. © 2017 The Author(s).","Ceretti-Junior, W.; Fernandes, A.; Marrelli, M.T.; Medeiros-Sousa, A.R.; Wilke, A.B.B.","","7",2017,"","Ceretti_2017_Mosquitoes_in_urban_green_spaces_Using_an_island_biogeographic_approach_to_identify_drivers_of_species_richness_and_composition.1.pdf","","N/A","23° 25.208' S , 46° 46.626' W","N/A","d; /; m","y; e; s","y; e; s"
409845,"not_duplicate","excluded","not_screened","not_started","database","Scopus","","Frequency of Aedes sp. Linnaeus (Diptera: Culicidae) and Associated Entomofauna in Bromeliads from a Forest Patch within a densely Urbanized Area","Little is known about the relationship between the presence of Aedes, abiotic factors and the entomofauna existing in phytotelmatas. The aim of this study was to identify biotic and abiotic factors associated with the presence of Aedes in bromeliads sites located in a forest fragment in Rio de Janeiro, Brazil. In the study area, eight bromeliads from the Aechmea genus were chosen and kept in landscape form. Physical and chemical variables were measured. Collected aquatic insects were identified according to the literature. A total of 3102 immature insects were collected. The presence of Aedes aegypti (Linnaeus) (2.29%) was rare. Few specimens were found concentrated in urban-adjacent areas during summer. On the other hand, Aedes albopictus (Skuse) (17.57%) was found throughout the year in 0%–80% of the sites, averaging 1.0 mosq/bromelia. Aedes albopictus was found predominantly in central sites of the forest fragment. The Canonical Correspondence Analysis indicates that most taxa had a moderate association with temperature, dissolved oxygen, and pH. The abiotic variables, such as temperature and dissolved oxygen, affect the distribution of the genus Aedes vectors, while most of the other variables did not. © 2017, Sociedade Entomológica do Brasil.","Baptista, D.F.; Codeço, C.T.; Docile, T.N.; Figueiró, R.; Honório, N.A.; Pereira, G.; dos Santos, J.A.A.","","46",2017,"","","","","","","","",""
409846,"not_duplicate","included","excluded","not_started","database","Scopus","","Emergence of recombinant Mayaro virus strains from the Amazon basin","Mayaro virus (MAYV), causative agent of Mayaro Fever, is an arbovirus transmitted by Haemagogus mosquitoes. Despite recent attention due to the identification of several cases in South and Central America and the Caribbean, limited information on MAYV evolution and epidemiology exists and represents a barrier to prevention of further spread. We present a thorough spatiotemporal evolutionary study of MAYV full-genome sequences collected over the last sixty years within South America and Haiti, revealing recent recombination events and adaptation to a broad host and vector range, including Aedes mosquito species. We employed a Bayesian phylogeography approach to characterize the emergence of recombinants in Brazil and Haiti and report evidence in favor of the putative role of human mobility in facilitating recombination among MAYV strains from geographically distinct regions. Spatiotemporal characteristics of recombination events and the emergence of this previously neglected virus in Haiti, a known hub for pathogen spread to the Americas, warrants close monitoring of MAYV infection in the immediate future. © 2017 The Author(s).","Capua, I.; Cella, E.; Ciccozzi, M.; Dollar, J.J.; Lednicky, J.; Mavian, C.; Morris, J.G.; Prosperi, M.C.F.; Rife, B.D.; Salemi, M.","","7",2017,"","Capua_2017_Emergence_of_recombinant_Mayaro_virus_strains_from_the_Amazon_basin.1.pdf","focus on virus","","","","","",""
409847,"not_duplicate","excluded","not_screened","not_started","database","Scopus","","Variation in the benefits of multiple mating on female fertility in wild stalk-eyed flies","Polyandry, female mating with multiple males, is widespread across many taxa and almost ubiquitous in insects. This conflicts with the traditional idea that females are constrained by their comparatively large investment in each offspring, and so should only need to mate once or a few times. Females may need to mate multiply to gain sufficient sperm supplies to maintain their fertility, especially in species in which male promiscuity results in division of their ejaculate among many females. Here, we take a novel approach, utilizing wild-caught individuals to explore how natural variation among females and males influences fertility gains for females. We studied this in the Malaysian stalk-eyed fly species Teleopsis dalmanni. After an additional mating, females benefit from greatly increased fertility (proportion fertile eggs). Gains from multiple mating are not uniform across females; they are greatest when females have high fecundity or low fertility. Fertility gains also vary spatially, as we find an additional strong effect of the stream from which females were collected. Responses were unaffected by male mating history (males kept with females or in male-only groups). Recent male mating may be of lesser importance because males in many species, including T. dalmanni, partition their ejaculate to maintain their fertility over many matings. This study highlights the importance of complementing laboratory studies with data on wild-caught populations, where there is considerable heterogeneity between individuals. Future research should focus on environmental, demographic and genetic factors that are likely to significantly influence variation in individual female fecundity and fertility. © 2017 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.","Cotton, A.; Fowler, K.; Harley, E.; Howie, J.M.; Meade, L.; Pomiankowski, A.","","7",2017,"","","","","","","","",""
409848,"not_duplicate","excluded","not_screened","not_started","database","Scopus","","Sexual dimorphism in epicuticular compounds despite similar sexual selection in sex role-reversed seed beetles","Sexual selection imposed by mating preferences is often implicated in the evolution of both sexual dimorphism and divergence between species in signalling traits. Epicuticular compounds (ECs) are important signalling traits in insects and show extensive variability among and within taxa. Here, we investigate whether variation in the multivariate EC profiles of two sex role-reversed beetle species, Megabruchidius dorsalis and Megabruchidius tonkineus, predicts mate attractiveness and mating success in males and females. The two species had highly distinct EC profiles and both showed significant sexual dimorphism in ECs. Age and mating status in both species were also distinguishable by EC profile. Males and females of both species showed significant association between their EC profile and attractiveness, measured both as latency to mating and as success in mate-choice trials. Remarkably, the major multivariate vector describing attractiveness was correlated in both species, both sexes, and in both choice and no-choice experiments such that increased attractiveness was in all cases associated with a similar multivariate modification of EC composition. Furthermore, in both sexes this vector of attractiveness was associated with more male-like EC profiles, as well as those characterizing younger and nonvirgin individuals, which might reflect a general preference for individuals of high condition in both sexes. Despite significant sexual selection on EC composition, however, we found no support for the proposition that sexual selection is responsible for divergence in ECs between these species. © 2017 European Society For Evolutionary Biology. Journal of Evolutionary Biology © 2017 European Society For Evolutionary Biology","Arnqvist, G.; Booksmythe, I.; Rundle, H.D.","","30",2017,"","","","","","","","",""
